Game,Year,Genre,Publisher,North_America_Sales_M$,Europe_Sales_M$,Japan_Sales_M$,Other_Sales_M$,Global_Sales_M$
Marvel Pinball: Epic Collection Volume 1,2018,Puzzle,Nighthawk Interactive,0.03,0,0,0.01,0.04
God Eater Off Shot: Lindow-hen Twin Pack & Animation Vol. 2,2017,Misc,Namco Bandai Games,0,0,0.04,0,0.04
Infamous: First Light,2016,Action,Sony Computer Entertainment,0,0.03,0,0,0.03
Raiden V,2019,Action,UFO Interactive,0.02,0,0,0.01,0.03
The Peanuts Movie: Snoopy's Grand Adventure,2017,Platform,Activision,0,0.03,0,0,0.03
The Dwarves,2018,Role-Playing,THQ Nordic,0.03,0,0,0.01,0.03
Dynasty Warriors: Eiketsuden,2018,Strategy,Tecmo Koei,0,0,0.03,0,0.03
Winning Post 8 2018,2018,Simulation,Tecmo Koei,0,0,0.03,0,0.03
Dragon's Dogma Online: Season 2,2018,Action,Capcom,0,0,0.03,0,0.03
Coven and Labyrinth of Refrain,2019,Action,Nippon Ichi Software,0.01,0,0.01,0,0.03
Super Dungeon Bros,2018,Action,Wired Productions,0.02,0,0,0.01,0.03
Blade Arcus from Shining EX,2017,Fighting,Sega,0,0,0.03,0,0.03
Troll and I,2019,Action,Maximum Games,0.02,0,0,0.01,0.03
The Pillars of the Earth,2019,Adventure,Kalypso Media,0.02,0,0,0.01,0.03
The Lost Child,2019,Action,Kadokawa Games,0.01,0,0.01,0,0.03
Romance of the Three Kingdoms 13 with Power-Up Kit,2019,Misc,Tecmo Koei,0,0,0.03,0,0.03
Koihime Enbu,2018,Fighting,Yeti,0,0,0.03,0,0.03
Road Rage,2019,Racing,Maximum Games,0.02,0,0,0.01,0.03
Winning Post 8 2019,2019,Misc,Tecmo Koei,0,0,0.03,0,0.03
Dino Dini's Kick Off Revival,2018,Sports,Avanquest,0,0.02,0,0,0.03
God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5,2018,Misc,Namco Bandai Games,0,0,0.03,0,0.03
Tumblestone,2018,Puzzle,Nighthawk Interactive,0.02,0,0,0.01,0.03
Blackguards 2,2019,Strategy,Kalypso Media,0.02,0,0,0.01,0.03
Baja: Edge of Control HD,2019,Racing,THQ Nordic,0.02,0,0,0.01,0.03
Crows: Burning Edge,2018,Action,Namco Bandai Games,0,0,0.03,0,0.03
Geometry Wars 3: Dimensions Evolved,2018,Action,Activision,0.02,0,0,0.01,0.03
We Sing (2018),2018,Music,THQ Nordic,0.02,0,0,0.01,0.03
Shin Hayarigami 2,2018,Adventure,Nippon Ichi Software,0,0,0.03,0,0.03
The Town of Light,2019,Adventure,Wired Productions,0.02,0,0,0.01,0.03
OlliOlli: Epic Combo Edition,2018,Platform,Badland Studio,0.02,0,0,0.01,0.03
Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto,2019,Fighting,Namco Bandai Games,0,0,0.03,0,0.03
Ao no Kanata no Four Rhythm,2019,Visual Novel,Sprite,0,0,0.03,0,0.03
Zero Escape: Zero Time Dilemma,2019,Adventure,Aksys Games,0.02,0,0,0,0.03
AereA,2019,Role-Playing,Soedesco,0.02,0,0,0,0.03
Root Letter,2018,Visual Novel,PQube,0,0,0.03,0,0.03
ClaDun Sengoku,2019,Action,NIS America,0.02,0,0,0,0.03
The Girl and the Robot,2019,Misc,Soedesco,0.02,0,0,0,0.03
Omega Quintet,2016,Role-Playing,Compile Heart,0,0,0.02,0,0.03
Touhou Kobuto V: Burst Battle,2019,Shooter,NIS America,0.02,0,0,0,0.03
God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4,2018,Action,Namco Bandai Games,0,0,0.02,0,0.02
Rugby League Live 3,2017,Sports,Tru Blu Entertainment,0,0.02,0,0,0.02
Omega Labyrinth Z,2019,Role-Playing,D3Publisher,0,0,0.02,0,0.02
Lost Sphear,2019,Role-Playing,Square Enix,0,0,0.02,0,0.02
Superbeat: Xonic,2019,Music,PM Studios,0.02,0,0,0,0.02
Republique,2018,Action-Adventure,Gunho Online Entertainment,0,0.01,0.01,0,0.02
Super Stardust Ultra VR,2018,Shooter,Sony Interactive Entertainment,0,0.02,0,0,0.02
Redout,2019,Racing,505 Games,0.02,0,0,0,0.02
Resident Evil: Value Pack,2018,Action-Adventure,Capcom,0,0,0.02,0,0.02
God Eater Off Shot: Tachibana Sakuya-hen Twin Pack & Animation Vol.7,2018,Action,Namco Bandai Games,0,0,0.02,0,0.02
PaRappa the Rapper Remastered,2019,Music,Sony Interactive Entertainment,0,0,0.02,0,0.02
Earth's Dawn,2018,Action,Rising Star Games,0.02,0,0,0,0.02
Big Buck Hunter Arcade,2018,Shooter,GameMill Entertainment,0.02,0,0,0,0.02
Dungeons 2,2018,Role-Playing,Kalypso Media,0.02,0,0,0,0.02
Tricky Towers,2019,Puzzle,Soedesco,0.02,0,0,0,0.02
No Heroes Allowed! VR,2019,Strategy,Sony Interactive Entertainment,0,0,0.02,0,0.02
ArmaGallant: Decks of Destiny,2019,Strategy,Maximum Games,0.02,0,0,0,0.02
Carmageddon: Max Damage,2018,Action,Stainless Games,0.02,0,0,0,0.02
Armello,2020,Strategy,League of Geeks,0.02,0,0,0,0.02
Shaq-Fu: A Legend Reborn,2020,Action,Wired Productions,0.02,0,0,0,0.02
Patapon Remastered,2019,Music,Sony Interactive Entertainment,0,0,0.02,0,0.02
Monster Hunter Frontier Z: Beginner's Package,2018,Action,Capcom,0,0,0.02,0,0.02
Professional Farmer 2016,2017,Action,Namco Bandai Games,0,0.02,0,0,0.02
Natsuiro High School: Seishun Hakusho,2017,Action,D3Publisher,0,0,0.02,0,0.02
The Inner World: The Last Wind Monk,2019,Puzzle,Kalypso Media,0.02,0,0,0,0.02
SteamWorld Collection,2018,Misc,Rising Star Games,0.02,0,0,0,0.02
Konoyo no Hate de Koi o Utau Shoujo: Yu-No,2019,Visual Novel,5pb,0,0,0.02,0,0.02
God Eater Off Shot: Fujiki Kota-hen Twin Pack & Animation Vol.6,2018,Misc,Namco Bandai Games,0,0,0.02,0,0.02
Genkai Tokki: Castle Panzers,2019,Role-Playing,Compile Heart,0,0,0.02,0,0.02
Skullgirls: 2nd Encore,2018,Fighting,Arc System Works,0,0,0.02,0,0.02
This Is The Police,2019,Simulation,THQ Nordic,0.01,0,0,0,0.02
Rabbids Invasion: The Interactive TV Show,2016,Misc,Ubisoft,0,0.01,0,0,0.02
FlatOut 4: Total Insanity,2019,Racing,Bigben Interactive,0.01,0,0,0,0.02
Chaos;Child,2017,Visual Novel,PQube,0,0,0.02,0,0.02
Touhou Shinhiroku: Urban Legend in Limbo,2018,Fighting,Mediascape,0,0,0.02,0,0.02
Rogue Trooper: Redux,2019,Shooter,Rebellion,0.01,0,0,0,0.02
Space Hulk: Deathwing,2017,Shooter,Focus Home Interactive,0,0.01,0,0,0.02
Pharaonic,2019,Action,Soedesco,0.01,0,0,0,0.02
White Day,2019,Action,PQube,0,0.01,0.01,0,0.02
Torment: Tides of Numenera,2019,Role-Playing,Techland,0.01,0,0,0,0.01
Let It Die,2019,Action,GungHo,0,0.01,0.01,0,0.01
Summer Lesson: Miyamoto Hikari Collection,2019,Adventure,Namco Bandai Games,0,0,0.01,0,0.01
Raven's Cry,2017,Role-Playing,TopWare Interactive,0,0.01,0,0,0.01
New Game! The Challenge Stage!,2019,Adventure,5pb,0,0,0.01,0,0.01
Hakoniwa Company Works,2019,Strategy,Nippon Ichi Software,0,0,0.01,0,0.01
DJ Max Respect,2019,Misc,Arc System Works,0,0,0.01,0,0.01
Battle Worlds: Kronos,2018,Strategy,Nordic Games,0.01,0,0,0,0.01
Dragon's Dogma Online: Season 3,2019,Role-Playing,Capcom,0,0,0.01,0,0.01
Occultic;Nine,2019,Adventure,5pb,0,0,0.01,0,0.01
Kono Subarashii Sekai ni Shukufuku o! Kono Yokubukai Game ni Shinpan o!,2019,Adventure,5pb,0,0,0.01,0,0.01
Battle Garegga Rev.2018,2018,Strategy,M2,0,0,0.01,0,0.01
Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. & Zoku: Oatome Set,2019,Adventure,5pb,0,0,0.01,0,0.01
Farming 2017 - The Simulation,2018,Simulation,UIG Entertainment,0,0.01,0,0,0.01
Re:Zero - Kara Hajimeru Isekai Seikatsu - Death or Kiss,2019,Adventure,5pb,0,0,0.01,0,0.01
Zombie Vikings,2018,Action,Rising Star Games,0,0.01,0,0,0.01
ATV Renegades,2019,Racing,Nighthawk Interactive,0.01,0,0,0,0.01
Ziggurat,2018,Shooter,Soedesco,0,0.01,0,0,0.01
Chaos;Child: Love Chu Chu!!,2019,Visual Novel,5pb,0,0,0.01,0,0.01
Moto Racer 4,2018,Racing,PQube,0.01,0,0,0,0.01
LocoRoco Remastered,2019,Platform,Sony Interactive Entertainment,0,0,0.01,0,0.01
Lock's Quest,2019,Strategy,THQ Nordic,0.01,0,0,0,0.01
Gal Gun: Double Peace,2017,Action,PQube,0,0,0.01,0,0.01
Woodcutter Simulator 2016,2017,Action,Namco Bandai Games,0,0.01,0,0,0.01
Akiba's Trip 2+A,2019,Adventure,Acquire,0,0,0.01,0,0.01
Date-A-Live Twin Edition: Rio Reincarnation,2019,Adventure,Compile Heart,0,0,0.01,0,0.01
Valhalla Hills,2019,Strategy,Kalypso Media,0.01,0,0,0,0.01
Deception IV: Blood Ties,2017,Action,Tecmo Koei,0,0,0.01,0,0.01
One Piece: Unlimited World Red,2019,Action,Namco Bandai Games,0,0,0.01,0,0.01
Hyper Light Drifter,2019,Role-Playing,Active Gaming Media,0,0,0.01,0,0.01
Teslagrad,2016,Platform,Rain Games,0,0.01,0,0,0.01
Darius Burst: Chronicle Saviours,2019,Action,Kadokawa Games,0,0,0.01,0,0.01
The Escapists: The Walking Dead,2018,Action,Team17 Software,0,0,0,0,0.01
Super Meat Boy,2018,Platform,Team Meat,0,0,0,0,0.01
